feature,mean_abs_SHAP,mean_SHAP,relative_importance_pct
viscosity_x_speed,10.108203751998039,-0.09249525926372171,29.159370715783055
flow_rate_mL_min,3.468344602953505,0.5675022579238451,10.005214430666364
viscosity_div_flow,3.0101435340711107,0.04882194300473532,8.683431138825929
viscosity_sq,2.307004502684362,0.29315810847380963,6.655069603583819
production_order,2.253334831111908,0.18719058023606414,6.500247452391409
viscosity_cP,1.8637218302036067,0.5461833841498828,5.376321757192771
log_viscosity,1.8483398105125557,-0.18316681074827265,5.331948886845735
month,1.8164013523602827,-0.25096938109252886,5.239815272981
viscosity_x_gap,1.5726606641251542,0.045770086757550316,4.536690834540258
solid_content_pct_imputed,1.3215653291062524,-0.14006922117312817,3.81235027528188
solution_concentration_pct_imputed,1.1111528205105141,-0.5880585912374652,3.2053684126370703
product_family_PES,0.9716066740048415,-0.17423032983192704,2.80281639471662
nips1_temp_C_imputed,0.7849281962043929,-0.038281776795710584,2.264300643313668
dry1_temp_C_imputed,0.5345678180533765,-0.05940052362237204,1.5420802312443036
speed_x_gap,0.3401449766739596,0.0027108783726644634,0.9812241339107204
nips2_temp_C_imputed,0.3283589011482526,-0.027097911830477814,0.9472245674229182
casting_speed_m_min,0.2715435415133039,-0.016121198524785628,0.7833279766346157
dry3_temp_C_imputed,0.1829939158593491,-0.021643157380837642,0.5278868097826812
solid_content_pct_was_imputed,0.09381491217291175,0.0026207052828810325,0.27063006146644336
solution_concentration_pct_was_imputed,0.06991427932073707,-0.013383563101334662,0.20168334939204272
dry2_temp_C_was_imputed,0.06858622230081048,-0.014506576807781136,0.19785227238510336
blade_gap_um,0.06110407617780563,0.02453633430440474,0.17626835125497858
dry3_temp_C_was_imputed,0.0547900096766762,-0.011658184696012618,0.15805401660683227
nips1_temp_C_was_imputed,0.04962725464360927,-0.031232980342786897,0.1431608969569423
dry2_temp_C_imputed,0.032872612497795606,0.007897908676914134,0.09482839065546483
dry1_temp_C_was_imputed,0.028515745799529375,0.001994523183814763,0.08226003584871862
product_family_DAF-125,0.018832402059321417,0.00585500111506847,0.05432626870109177
product_family_PES 0.2,0.015101369254458756,-0.004965171797093404,0.043563271498128456
product_family_PES 0.05,0.013838070415990361,0.003020161633460077,0.0399190039250261
product_family_DAF-95,0.013800920969327102,-0.002759614005416816,0.03981183805127468
product_family_DAF,0.012119811112254976,0.007586471265545233,0.03496230130478462
product_family_PES 0.2 Asym,0.010456253408610897,0.0012266045320087383,0.0301633976639606
year,0.010190712057858816,0.00308780144048843,0.029397384346765722
nips2_temp_C_was_imputed,0.00601653122175711,-0.0006146877238559728,0.017356027700136212
product_family_DAF-NC,0.0051415360790035905,-0.0021981877614637045,0.01483190883905606
product_family_Unknown,0.0028793844879525096,0.0010480511750313025,0.008306227473984806
product_family_Unbacked NC,0.0016762696506056438,-0.0001122715140014245,0.004835574090200195
product_family_DAF-140,0.0010745862877649841,-0.0003943571845199551,0.003099884084236294
